Station,StreamUrl
I Love Rio,https://usa10.fastcast4u.com/bluebossanova
Bossanova Brazil,https://radio2.vip-radios.fm:18009/stream-128kmp3-BossaNovaBrazil
Radio Estilo Leblon,https://us4.internet-radio.com/proxy/radioestiloleblon/stream
Fanatica Chill,https://ascl.denial.cl:2020/stream/8004
Gem Radio New Wave,https://gemradionw.radioca.st/stream/1/
The Bristol Sound Web,https://thebristolsoundwebradio.stream.laut.fm/thebristolsoundwebradio
Best of 80s,https://bestof80s.stream.laut.fm/best_of_80s
80s,https://80s.stream.laut.fm/80s
Goanight,https://goanight.stream.laut.fm/goanight
Weekend Radio,https://weekendradio.stream.laut.fm/weekendradio
1000 Smoothhits,https://1000smoothhits.stream.laut.fm/1000smoothhits
Chillout,https://chillout.stream.laut.fm/chillout
Ad Infinitum,https://adinfinitum.stream.laut.fm/ad_infinitum
Electro Swing,https://electro-swing.stream.laut.fm/electro-swing
Hairrock-Radio,https://hairrockradio.stream.laut.fm/hairrockradio
Virgin On Hair,https://icy.unitedradio.it/Virgin.mp3
Virgin Rock 80s,https://icy.unitedradio.it/VirginRock80.mp3
Virgin Rock Hits,https://icy.unitedradio.it/VirginRockHits.mp3
Virgin Rock Party,https://icy.unitedradio.it/VirginRockParty.mp3
AC DC,https://icy.unitedradio.it/um1026.mp3
Pink Floyd,https://icy.unitedradio.it/VirginRogerWaters.mp3
Jha Music Mansion,http://192.99.41.102:5304/stream/1/
Psyndora Chillout,https://cast.magicstreams.gr/sc/psychill/stream
Ibiza Live Radio,https://uksoutha.streaming.broadcast.radio/ibiza-live-radio
Ibiza Global Radio,https://cdn-peer011.streaming-pro.com:8025/ibizaglobalradio.mp3
50s 60s Radio,https://strm112.1.fm/60s_70s_mobile_mp3
50s 60s Retro Hits,https://stream-158.zeno.fm/pxzwykxbluitv
PlusFM,https://radio5.pro-fhi.net/flux-ymwhyfad/1
Lounge Radio Ibiza,https://lounge-radio-ibiza.stream.laut.fm/lounge-radio-ibiza
Radio Horyzont,http://s1.slotex.pl:7328/stream/1/;?type=http
New Wawe 80s,https://digitalaudiobroadcasting.net:1085/stream
New Wawe Radio,https://puma.streemlion.com:2910/stream
Electro Radio,https://stream.electroradio.fm/192k?icy=https
Rolling Stones,https://icy.unitedradio.it/VirginSpecialEvent.mp3
Virgin Radio Rock 2K,https://icy.unitedradio.it/Virgin_02.mp3
Virgin Rock Alternative,https://icy.unitedradio.it/VirginRockAlternative.mp3
Virgin Rock Ballad,https://icy.unitedradio.it/Virgin_06.mp3
Axe Bahia,https://stream-159.zeno.fm/6w9t0g80g3quv
Radio Scalla Instrumental,https://s01.svrdedicado.org:6782/stream
Bossa Nova Brasil,https://radio2.vip-radios.fm:18009/stream-128kmp3-BossaNovaBrazil
Smooth FM,https://radio2.vip-radios.fm:18009/stream-128kmp3-BossaNovaBrazil
Costa del Mar Chillout,https://radio4.cdm-radio.com:18020/stream-mp3-Chill
Cafe del Mar,https://streams.radio.co/se1a320b47/listen
Jazz-Radio.net,https://ais-sa2.cdnstream1.com/2346_128.mp3
Pure Ibiza Radio,https://pureibizaradio.streaming-pro.com:8024/stream.aac
Psyndora Trance,https://cast.magicstreams.gr/sc/psyndora/stream
80s80s,https://regiocast.streamabc.net/regc-80s80smweb2517500-mp3-192-1672667
Amazing Classic Hits,https://sources.amazingradios.com/classic-hits
ABC Lounge Radio,https://str3.openstream.co/1332
Melody,https://n32a-eu.rcs.revma.com/5a05fstup42vv
Chante France,https://chantefrance.ice.infomaniak.ch/chantefrance-96.aac
Chante France Party,https://chantefranceparty.ice.infomaniak.ch/chantefranceparty-96.aac
Deepness Dementia Radio,https://s3.radio.co/s6503b8fbd/listen
Connemara CR FM,https://audio-edge-ey5nr.ams.s.radiomast.io/5008371a-b8fd-4745-a5a3-e17837dad90c
Costa del Mar Zen,https://radio4.cdm-radio.com:18004/stream-mp3-Zen
Ibiza Stardust Radio,https://listen.radioking.com/radio/260965/stream/524456
Hippie Soul Cafe,https://ec2.yesstreaming.net:2350/
UFDV FM Jamaica,https://us10a.serverse.com/proxy/ufdvradio/stream
North & Beyond Radio,https://north-beyond.stream.laut.fm/north-beyond?t302=2025-05-05_11-20-55&uuid=8183db4d-0854-4c25-bcea-c8fa91a36124
Radio Ti Ricordi,https://rtr99.fluidstream.eu/rtr99.mp3
R.SA - Oldieclub,https://rsa.streamabc.net/regc-rsasachsenoldies7771147-mp3-128-2949639?sABC=6819nprn%230%239907q9032q53q6931q4pq4q36s948q00%23enqvbqr&aw_0_1st.playerid=radiode&amsparams=playerid:radiode;skey:1746513130
ON Oldies,https://0n-oldies.radionetz.de/0n-oldies.mp3
